ticker,date,gap_pct,atr,candle_color,follow_through_level,ft_bar_idx,ft_minutes_from_open,entry_price,eod_close,eod_return,mae_pct,mfe_pct,mae_price,mfe_price,price_above_entry_after_ft,bounce_above_entry_before_lod,bounce_depth_before_lod,session_low_price,session_high_price,lod_minutes_from_open,hod_minutes_from_open,gap_abs
ASML,2024-10-16,-0.02902,31.5639,BEARISH,696.6944,2,10.0,692.865,683.47,0.01356,0.00796,0.022407,698.38,677.34,True,True,0.004813,677.34,716.94,275.0,0.0,0.02902
ASML,2024-11-15,-0.021877,17.995,BEARISH,670.597,0,0.0,670.58,658.64,0.017805,0.013376,0.019222,679.55,657.69,True,True,0.013376,657.69,679.55,335.0,35.0,0.021877
ASML,2025-07-31,-0.021091,22.5511,NEUTRAL,697.3796,49,260.0,697.31,694.81,0.003585,0.000645,0.008389,697.76,691.46,True,False,-0.000143,691.46,707.235,285.0,0.0,0.021091
ASTS,2024-02-07,-0.022569,0.2686,BEARISH,2.7076,22,135.0,2.7,2.605,0.035185,0.003704,0.040741,2.71,2.59,True,True,0.003704,2.59,2.82,295.0,0.0,0.022569
ASTS,2024-04-02,-0.117871,0.2093,NEUTRAL,2.2363,1,5.0,2.21,2.005,0.09276,0.049774,0.106335,2.32,1.975,True,True,0.049774,1.975,2.33,295.0,0.0,0.117871
ASTS,2024-05-07,-0.040161,0.1111,NEUTRAL,2.3456,4,20.0,2.34,2.33,0.004274,0.014957,0.008547,2.375,2.32,True,False,-0.008547,2.32,2.39,25.0,0.0,0.040161
ASTS,2024-05-23,-0.039742,0.5639,NEUTRAL,4.2444,22,185.0,4.215,4.13,0.020166,0.007117,0.051008,4.245,4.0,False,False,0.0,4.0,4.56,315.0,10.0,0.039742
ASTS,2024-06-21,-0.028495,1.0225,BEARISH,10.501,3,15.0,10.41,10.09,0.03074,0.017291,0.036984,10.59,10.025,True,True,0.017291,10.025,10.95,310.0,0.0,0.028495
ASTS,2024-08-02,-0.036729,1.8482,NEUTRAL,18.9307,8,40.0,18.84,18.5,0.018047,0.029724,0.032378,19.4,18.23,True,True,0.021762,18.23,20.17,280.0,0.0,0.036729
ASTS,2024-11-20,-0.021216,2.7207,BEARISH,24.5167,23,115.0,24.51,23.585,0.03774,0.00612,0.052224,24.66,23.23,True,True,0.00612,23.23,26.025,320.0,0.0,0.021216
ASTS,2025-02-11,-0.020867,2.6814,NEUTRAL,29.4274,30,150.0,29.3,28.41,0.030375,0.031399,0.032423,30.22,28.35,True,True,0.031399,28.35,30.77,380.0,20.0,0.020867
ASTS,2025-02-25,-0.034139,3.0332,NEUTRAL,26.3717,9,45.0,26.23,26.185,0.001716,0.022493,0.017918,26.82,25.76,True,True,0.016012,25.76,27.94,295.0,5.0,0.034139
ASTS,2025-11-06,-0.028912,5.8636,NEUTRAL,66.0046,34,170.0,65.8,65.275,0.007979,0.016033,0.010638,66.855,65.1,True,True,0.016033,65.1,70.16,380.0,55.0,0.028912
ASTS,2026-02-12,-0.09273,11.8479,BEARISH,83.1209,7,35.0,82.58,82.17,0.004965,0.039174,0.031606,85.815,79.97,True,True,0.039174,79.97,87.9,360.0,0.0,0.09273
ASTS,2026-02-20,-0.020096,9.3829,NEUTRAL,80.8469,38,190.0,80.84,80.23,0.007546,0.021895,0.016452,82.61,79.51,True,True,0.021895,79.51,86.98,325.0,30.0,0.020096
ASTS,2026-02-27,-0.038233,7.4779,NEUTRAL,79.5189,22,110.0,79.48,79.19,0.003649,0.00843,0.028246,80.15,77.235,True,True,0.00843,77.235,83.26,235.0,10.0,0.038233
AVGO,2025-06-06,-0.034491,7.7893,NEUTRAL,247.9843,62,310.0,247.95,246.8,0.004638,0.002823,0.007199,248.65,246.165,True,True,0.000403,246.165,255.1,370.0,20.0,0.034491
BA,2024-01-25,-0.030261,8.8461,BEARISH,204.1216,3,15.0,203.33,201.88,0.007131,0.008115,0.024197,204.98,198.41,True,True,0.005803,198.41,208.16,85.0,0.0,0.030261
BA,2024-03-12,-0.021396,4.8136,BEARISH,186.5146,1,5.0,185.25,184.29,0.005182,0.009447,0.011093,187.0,183.195,True,True,0.007557,183.195,188.53,320.0,0.0,0.021396
BABA,2024-02-28,-0.020984,1.9114,BEARISH,75.2854,9,45.0,75.26,74.55,0.009434,0.002923,0.010696,75.48,74.455,True,True,0.002192,74.455,76.17,380.0,0.0,0.020984
BABA,2024-10-15,-0.035665,5.2511,NEUTRAL,101.8646,73,365.0,101.86,101.82,0.000393,0.0027,0.002062,102.135,101.65,True,True,0.000884,101.65,104.39,375.0,0.0,0.035665
BABA,2025-02-24,-0.056935,7.1382,BEARISH,132.7197,1,5.0,132.55,129.015,0.026669,0.013089,0.030856,134.285,128.46,True,True,0.005809,128.46,135.575,30.0,0.0,0.056935
BAC,2024-08-02,-0.035968,1.105,BEARISH,37.618,50,250.0,37.605,37.58,0.000665,0.001197,0.011302,37.65,37.18,True,False,0.0,37.18,38.52,275.0,20.0,0.035968
BAC,2025-04-03,-0.080344,1.2318,NEUTRAL,37.9673,6,30.0,37.78,37.205,0.01522,0.014426,0.020249,38.325,37.015,True,True,0.014426,37.015,38.725,375.0,0.0,0.080344
BAC,2025-04-04,-0.04959,1.4011,NEUTRAL,34.7996,6,30.0,34.7,34.38,0.009222,0.007493,0.029539,34.96,33.675,True,True,0.002738,33.675,35.785,80.0,0.0,0.04959
BE,2024-02-13,-0.05763,0.7618,NEUTRAL,11.3053,8,40.0,11.3,11.245,0.004867,0.011504,0.020354,11.43,11.07,True,True,0.011504,11.07,11.72,330.0,0.0,0.05763
BE,2024-10-23,-0.02261,0.5007,BEARISH,9.3097,6,30.0,9.25,9.04,0.022703,0.010811,0.024324,9.35,9.025,True,True,0.010811,9.025,9.6,275.0,15.0,0.02261
BE,2025-01-27,-0.177517,2.4336,BEARISH,23.5366,0,0.0,23.39,22.42,0.041471,0.047884,0.100898,24.51,21.03,True,True,0.039547,21.03,24.51,235.0,0.0,0.177517
BE,2025-03-06,-0.029283,2.0736,NEUTRAL,22.5406,37,185.0,22.505,22.39,0.00511,0.00822,0.033992,22.69,21.74,True,True,0.00822,21.74,24.28,275.0,120.0,0.029283
BE,2025-06-17,-0.046446,1.0768,NEUTRAL,21.4343,51,260.0,21.43,21.35,0.003733,0.005833,0.007,21.555,21.28,True,True,0.0028,21.28,22.185,295.0,0.0,0.046446
BE,2025-07-01,-0.021971,1.1954,NEUTRAL,22.8919,4,20.0,22.77,22.13,0.028107,0.011199,0.054018,23.025,21.54,True,True,0.011199,21.54,23.68,95.0,0.0,0.021971
BE,2025-10-22,-0.025192,10.9086,BEARISH,97.4066,11,55.0,97.03,94.345,0.027672,0.021746,0.090591,99.14,88.24,True,True,0.002525,88.24,103.305,235.0,0.0,0.025192
BE,2026-02-20,-0.020185,17.2457,BEARISH,148.9217,38,190.0,148.55,147.58,0.00653,0.024571,0.029687,152.2,144.14,True,True,0.024571,144.14,158.68,330.0,30.0,0.020185
BE,2026-02-27,-0.028875,15.5454,BEARISH,157.5719,34,170.0,156.5,155.81,0.004409,0.012652,0.028818,158.48,151.99,True,True,0.005272,151.99,167.21,335.0,35.0,0.028875
BE,2026-03-06,-0.047714,15.6171,BEARISH,146.0331,64,320.0,145.77,135.185,0.072614,0.008918,0.073095,147.07,135.115,False,False,-0.000274,135.115,155.59,385.0,60.0,0.047714
BIDU,2024-02-28,-0.040854,3.2882,BEARISH,106.4447,3,15.0,105.29,103.28,0.01909,0.009688,0.01928,106.31,103.26,True,True,0.004654,103.26,107.93,385.0,0.0,0.040854
BIDU,2025-02-05,-0.029288,3.7339,BEARISH,88.6564,20,100.0,88.64,88.62,0.000226,0.009251,0.002708,89.46,88.4,True,True,0.009251,88.4,90.35,370.0,10.0,0.029288
BIDU,2025-02-18,-0.048882,4.7461,BEARISH,90.8166,1,5.0,90.44,90.16,0.003096,0.021008,0.009288,92.34,89.6,True,True,0.021008,89.6,92.715,360.0,0.0,0.048882
BIDU,2025-07-16,-0.044904,2.5411,BEARISH,88.1036,0,0.0,88.065,86.36,0.019361,0.01232,0.023221,89.15,86.02,False,False,-0.000965,86.02,89.15,170.0,0.0,0.044904
BIDU,2025-09-23,-0.031873,6.0468,BEARISH,129.8613,10,50.0,129.85,125.54,0.033192,0.003157,0.037967,130.26,124.92,True,True,0.003157,124.92,132.34,355.0,0.0,0.031873
BIDU,2026-02-04,-0.02616,5.9436,BEARISH,138.7126,5,25.0,138.38,137.98,0.002891,0.013116,0.014597,140.195,136.36,True,True,0.013116,136.36,141.09,200.0,0.0,0.02616
BIDU,2026-02-26,-0.026302,4.67,BEARISH,127.332,0,0.0,125.52,125.13,0.003107,0.029318,0.019598,129.2,123.06,True,True,0.014898,123.06,129.2,205.0,0.0,0.026302
