t,Close,High,Low,n,Open,Volume,vw
2023-12-13,480.96,485.87,476.6,7808,476.6,492857,481.637272
2023-12-14,483.5,486.66,474.31,9713,483.6,532517,481.053413
2023-12-15,489.17,494.02,481.25,7684,482.86,432889,489.67182
2023-12-18,500.76,504.21,491.66,8518,493.91,436298,499.301185
2023-12-19,495.97,497.0,489.0,15191,494.21,969126,493.015785
2023-12-20,481.36,499.95,481.175,7154,496.64,417786,491.652234
2023-12-21,489.84,490.75,484.335,6774,488.325,324013,487.33935
2023-12-22,488.29,493.61,484.88,4742,491.845,201966,489.328039
2023-12-26,492.82,495.97,489.69,3684,489.815,187514,493.676949
2023-12-27,494.23,496.75,490.95,4313,495.05,167205,493.598844
2023-12-28,495.49,498.8,494.25,6908,496.61,255281,496.232892
2023-12-29,495.23,499.9,487.78,8102,498.13,310062,494.995349
2024-01-02,481.96,492.36,476.2,9285,491.945,417334,479.911596
2024-01-03,475.9,481.76,473.2,7009,474.34,387565,477.093465
2024-01-04,480.0,484.97,475.105,8984,478.06,311008,481.307286
2024-01-05,490.9,495.46,483.935,8238,484.79,430252,490.061415
2024-01-08,522.47,522.725,494.935,13319,495.27,812045,512.955196
2024-01-09,531.31,543.12,516.9,12509,523.775,685543,530.39761
2024-01-10,543.49,545.965,535.03,8765,536.33,474400,541.556001
2024-01-11,548.26,553.38,535.82,9356,549.47,489465,545.63139
2024-01-12,547.06,549.6,543.4,5457,546.085,276181,546.73957
2024-01-16,563.815,568.14,549.02,9135,550.11,460078,561.736832
2024-01-17,560.62,564.1,547.64,8643,563.42,547202,556.374593
2024-01-18,571.1,576.0,561.3,9075,572.78,539820,570.71942
2024-01-19,594.875,594.965,572.25,8555,579.74,568158,584.844436
2024-01-22,596.57,603.3,590.7,10372,600.54,620025,597.442408
2024-01-23,598.59,599.1,586.36,6154,595.215,323713,594.152361
2024-01-24,613.88,628.35,599.51,10233,603.35,537512,615.893495
2024-01-25,616.6,626.88,608.62,8728,623.375,437119,619.091056
2024-01-26,610.02,617.81,605.975,7247,609.745,341626,611.664363
2024-01-29,624.79,624.83,609.33,6372,612.33,320207,617.808434
2024-01-30,627.86,634.8,622.63,7558,629.495,430689,629.278376
2024-01-31,615.15,622.45,607.0,8622,613.36,499722,615.41888
2024-02-01,630.25,631.86,616.67,6700,621.37,442083,624.396206
2024-02-02,661.58,665.815,636.9,9297,639.81,596655,655.726357
2024-02-05,693.12,694.92,672.35,12541,682.25,697473,686.439161
2024-02-06,682.19,697.39,663.0,14398,696.66,871364,677.747678
2024-02-07,701.02,702.18,676.15,8004,683.3,460189,692.432284
2024-02-08,696.72,707.54,694.9,7272,700.755,371222,700.901134
2024-02-09,721.055,721.83,702.43,7249,705.13,406265,714.854892
2024-02-12,722.98,745.88,712.94,10601,725.81,664411,728.298901
2024-02-13,721.8,734.44,696.89,10554,704.125,509992,719.523575
2024-02-14,738.56,742.155,719.695,8890,732.31,532855,732.121481
2024-02-15,726.83,739.42,724.14,9458,739.0,555270,730.257243
2024-02-16,725.62,743.99,725.07,7940,740.2,475345,734.175113
2024-02-20,694.85,719.56,677.4,16597,719.47,1043267,689.360291
2024-02-21,674.72,688.77,662.89,16269,680.105,760331,674.278983
2024-02-22,785.27,785.63,742.64,16048,750.97,910996,773.268003
