ticker,date,direction,gap_bucket,candle_tier,win,eod_return,hod_pct,lod_pct,hod_atr,lod_atr,reverse_ft_minutes,cs_bar1,cs_at_ft,cs_prior,cs_slope_raw,ts_slope,ts_level_at_ft,ft_bar_number,ft_bar_candle
APLD,2024-06-06,GAP_DN,2-5%,BEARISH,1,0.081319,0.091209,0.010989,1.0506,0.1266,115.0,51.53,22.0,22.15,-0.15,TS_FLAT,NEUTRAL,18,NEUTRAL
APLD,2024-06-18,GAP_DN,2-5%,BEARISH,0,-0.02552,0.039698,0.045369,0.4946,0.5652,50.0,-7.61,-6.99,-39.24,32.25,TS_RISING,NEUTRAL,10,BULLISH
APLD,2024-07-17,GAP_DN,2-5%,BULLISH,0,-0.067018,0.026355,0.07756,0.2534,0.7456,135.0,4.87,-100.0,-100.0,0.0,TS_FLAT,BEARISH,27,NEUTRAL
APLD,2024-09-03,GAP_DN,2-5%,MAX_BULLISH,0,-0.117978,0.058989,0.117978,0.4995,0.999,70.0,-16.74,-100.0,-100.0,0.0,TS_FLAT,BEARISH,14,BEARISH
APLD,2024-09-10,GAP_DN,5-8%,BEARISH,1,0.059984,0.059984,0.045193,0.4516,0.3403,385.0,-41.98,57.38,-34.74,92.12,TS_RISING,BULLISH,77,BULLISH
APLD,2024-09-30,GAP_DN,2-5%,MAX_BEARISH,1,0.057766,0.101412,0.057766,1.041,0.593,30.0,-100.0,-67.71,-100.0,32.29,TS_RISING,BEARISH,6,BULLISH
APLD,2025-01-08,GAP_DN,2-5%,BULLISH,0,-0.049153,0.010377,0.091207,0.0992,0.8717,20.0,-100.0,-100.0,,,UNKNOWN,BEARISH,4,BEARISH
APLD,2026-01-20,GAP_DN,5-8%,MAX_BEARISH,1,0.000423,0.051072,0.050367,0.5863,0.5782,160.0,-100.0,100.0,100.0,0.0,TS_FLAT,BULLISH,32,BULLISH
APLD,2026-01-30,GAP_DN,2-5%,BULLISH,0,-0.068864,0.015541,0.069266,0.1527,0.6806,30.0,-7.03,-100.0,-24.42,-75.58,TS_FALLING,BEARISH,6,BEARISH
APP,2024-05-02 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.015553,0.023119,0.004624,0.4966,0.0993,320.0,28.9,100.0,100.0,0.0,TS_FLAT,BULLISH,62,BULLISH
APP,2025-01-02 05:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.032132,0.033793,0.043397,0.5569,0.7152,145.0,88.58,100.0,91.33,8.67,TS_FLAT,BULLISH,29,BULLISH
APP,2025-09-02,GAP_DN,2-5%,BEARISH,1,0.046687,0.046687,0.015327,0.9375,0.3078,15.0,-58.03,-63.25,,,UNKNOWN,BEARISH,3,BULLISH
ARKK,2024-11-06 05:00:00+00:00,GAP_UP,5-8%,BEARISH,0,-0.02556,0.025855,0.014353,0.9388,0.5212,190.0,5.3,90.99,78.62,12.37,TS_RISING,BULLISH,38,BULLISH
ARKK,2025-10-14,GAP_DN,2-5%,BEARISH,1,0.015349,0.032857,0.020835,0.9346,0.5926,130.0,-27.76,89.01,74.24,14.77,TS_RISING,BULLISH,26,BULLISH
ARKQ,2025-06-06 04:00:00+00:00,GAP_UP,2-5%,MAX_BEARISH,0,-0.009984,0.013229,0.000499,0.6829,0.0258,30.0,-71.58,-37.11,,,UNKNOWN,BEARISH,2,BEARISH
ARKQ,2025-10-13 04:00:00+00:00,GAP_UP,2-5%,MAX_BEARISH,0,-0.006112,0.011136,0.004521,0.435,0.1766,30.0,-91.42,16.74,-71.68,88.42,TS_RISING,NEUTRAL,6,NEUTRAL
ARKQ,2025-12-18 05:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.000795,0.000972,0.011662,0.0447,0.5361,40.0,-26.82,69.54,41.35,28.19,TS_RISING,BULLISH,8,BEARISH
ARKQ,2026-01-08 05:00:00+00:00,GAP_UP,2-5%,BEARISH,1,0.004939,0.010192,0.008781,0.4777,0.4115,15.0,-28.22,20.32,,,UNKNOWN,NEUTRAL,3,BULLISH
ARKQ,2024-08-02,GAP_DN,2-5%,BULLISH,0,-0.006101,0.000763,0.010867,0.0304,0.4329,25.0,,,,,UNKNOWN,UNKNOWN,1,NEUTRAL
ARKQ,2025-01-27,GAP_DN,2-5%,BEARISH,0,-0.009029,0.011057,0.010811,0.4022,0.3933,80.0,12.23,-18.03,,,UNKNOWN,BEARISH,2,NEUTRAL
ARKQ,2025-02-28,GAP_DN,2-5%,MAX_BEARISH,1,0.040886,0.040886,0.000715,1.6806,0.0294,15.0,-70.2,-56.15,,,UNKNOWN,BEARISH,1,NEUTRAL
ARKQ,2025-04-04,GAP_DN,5-8%,BULLISH,0,-0.012789,0.002787,0.046565,0.0732,1.2226,20.0,-100.0,-100.0,,,UNKNOWN,BEARISH,4,BEARISH
ARKQ,2025-04-10,GAP_DN,2-5%,MAX_BULLISH,0,-0.010643,0.006787,0.035477,0.1225,0.6403,150.0,100.0,-9.43,26.13,-35.56,TS_FALLING,NEUTRAL,14,NEUTRAL
ARKQ,2025-08-19,GAP_DN,2-5%,BULLISH,0,-0.017642,0.006527,0.017642,0.3244,0.8769,170.0,-96.81,-100.0,-100.0,0.0,TS_FLAT,BEARISH,7,NEUTRAL
ARKQ,2025-10-14,GAP_DN,2-5%,BEARISH,1,0.025754,0.038419,0.01632,1.3222,0.5616,50.0,-17.14,-51.77,-39.64,-12.13,TS_FALLING,BEARISH,6,NEUTRAL
ARKQ,2025-11-04,GAP_DN,2-5%,MAX_BEARISH,0,-0.010538,0.013287,0.011121,0.5005,0.4189,20.0,-88.28,-100.0,,,UNKNOWN,BEARISH,4,NEUTRAL
ARKQ,2025-11-07,GAP_DN,2-5%,MAX_BEARISH,1,0.028548,0.031548,0.009774,1.0471,0.3244,270.0,-71.19,97.39,4.44,92.95,TS_RISING,BULLISH,33,NEUTRAL
ARKQ,2026-01-20,GAP_DN,2-5%,BULLISH,0,-0.011154,0.018871,0.013523,0.8483,0.6079,310.0,-55.78,-100.0,-100.0,0.0,TS_FLAT,BEARISH,20,NEUTRAL
ARKX,2025-10-13 04:00:00+00:00,GAP_UP,2-5%,BULLISH,1,0.005138,0.004656,0.012524,0.1933,0.52,10.0,-99.95,-87.19,,,UNKNOWN,BEARISH,2,BEARISH
ARKX,2025-04-10,GAP_DN,2-5%,MAX_BULLISH,0,-0.004011,0.010315,0.023496,0.2524,0.5749,155.0,,,,,UNKNOWN,UNKNOWN,22,BEARISH
ARKX,2025-06-13,GAP_DN,2-5%,MAX_BEARISH,1,0.001848,0.012477,0.001848,0.6597,0.0977,5.0,-100.0,-100.0,,,UNKNOWN,BEARISH,1,NEUTRAL
ARKX,2025-08-01,GAP_DN,2-5%,BEARISH,1,0.005892,0.017282,0.01198,0.6837,0.4739,150.0,-10.86,-24.38,-100.0,75.62,TS_RISING,BEARISH,11,BULLISH
ARKX,2025-11-04,GAP_DN,2-5%,MAX_BEARISH,0,-0.005625,0.012905,0.005956,0.4693,0.2166,50.0,-85.12,-100.0,-85.12,-14.88,TS_FALLING,BEARISH,5,BULLISH
ARKX,2026-01-20,GAP_DN,2-5%,BULLISH,0,-0.016012,0.021106,0.02067,0.7945,0.7781,245.0,-100.0,-100.0,-100.0,0.0,TS_FLAT,BEARISH,36,BEARISH
ARM,2025-10-06 04:00:00+00:00,GAP_UP,2-5%,BEARISH,0,-0.00334,0.029929,0.004432,0.8911,0.1319,15.0,41.0,90.02,,,UNKNOWN,BULLISH,3,BULLISH
