event_date,news_count_total,news_count_pre_open,news_count_intraday,pre_open_flag,intraday_flag,top_headline,top_source,prev_close,open_price,open_gap_pct,day_high_rth,open_to_high_pct_rth,close_price,open_to_close_pct,tplus1_return_pct,tplus3_return_pct,event_volume,avg_volume_6mo,volume_spike_ratio,time_to_high_minutes,firsthour_open_to_high_pct
2024-12-11,1,1,0,True,False,"Tilray Brands Announced A New Holiday Campaign Spotlighting A Series Of Cannabis-infused Beverages From Two Of Its Renowned Beverage Brands, XMG And Mollo",benzinga,1.27,1.275,0.3937007874015664,1.275,0.0,1.255,-1.5686274509803935,-3.9840637450199066,-4.382470119521908,771696.0,458157.9126984127,1.6843450229964205,0.0,0.0
2024-12-30,1,0,1,False,True,"Cannabis In 2025: Inside America's Social, Economic, Wellness Transformation",benzinga,1.425,1.4,-1.75438596491229,1.42,1.42857142857143,1.355,-3.214285714285709,-2.583025830258297,6.273062730627303,539316.0,493918.04761904763,1.091913937139562,1.0,1.42857142857143
2025-01-03,1,0,1,False,True,EXCLUSIVE: Cannabis Physician Says Surgeon General's Alcohol Cancer Risk Warning Is 'Wake-Up Call',benzinga,1.455,1.43,-1.7182130584192532,1.49,4.195804195804199,1.44,0.6993006993007,-2.0833333333333353,-4.1666666666666705,431458.0,501530.7619047619,0.8602822254837713,247.0,2.7972027972028
2025-01-06,1,1,0,True,False,Tilray Medical Wins Contract to Supply Medical Cannabis to Luxembourg,benzinga,1.44,1.48,2.7777777777777803,1.51,2.027027027027029,1.41,-4.729729729729734,3.1914893617021387,-13.120567375886512,601485.0,504055.6666666667,1.1932908203921921,3.0,2.027027027027029
2025-01-08,1,0,1,False,True,DEA Accused Of Bias In Cannabis Rescheduling Hearings: Weed Stocks Plummeted In 2024 As Process Drags On,benzinga,1.455,1.42,-2.4054982817869512,1.42,0.0,1.38,-2.8169014084507067,-11.231884057971001,-14.492753623188403,657920.0,508303.8888888889,1.2943438253800494,0.0,0.0
2025-01-10,3,1,2,True,True,"Cannabis Stock Movers For January 9, 2025",benzinga,1.38,1.24,-10.144927536231878,1.26,1.6129032258064528,1.225,-1.209677419354831,-3.265306122448982,-4.081632653061227,717794.0,512826.35714285716,1.399682348620091,0.0,1.6129032258064528
2025-01-15,1,1,0,True,False,FDA Solicits Public Comments On Use Of Cannabis-derived Products In Veterinary Medicine,benzinga,1.18,1.19,0.8474576271186449,1.22,2.521008403361347,1.175,-1.2605042016806642,0.4255319148936079,0.0,225707.0,523266.8968253968,0.43134201947293005,3.0,2.521008403361347
2025-01-16,1,1,0,True,False,Cannabis Legalization Headed For The Ballot Again In Florida: Advocates Launch New Amendment Initiative,benzinga,1.175,1.18,0.4255319148936079,1.215,2.9661016949152663,1.18,0.0,0.42372881355933184,-3.813559322033892,676304.0,523801.9761904762,1.2911444223991773,175.0,1.6949152542372898
2025-01-30,1,1,0,True,False,Can Canada Maintain Its Cannabis Edge After Trudeau's Departure?,benzinga,1.055,1.07,1.4218009478673106,1.15,7.476635514018677,1.125,5.140186915887844,-5.777777777777773,-11.11111111111111,893358.0,547574.619047619,1.6314817541284001,349.0,0.9345794392523372
2025-02-03,1,0,1,False,True,What's Going On With Tilray Brands Stock Monday?,benzinga,1.06,0.9919,-6.424528301886796,1.02,2.8329468696441187,0.9881,-0.383103135396716,1.204331545390145,7.2765914381135595,1144901.0,549897.1984126985,2.082027337663849,59.0,2.8329468696441187
2025-02-05,1,0,1,False,True,"Why Aurora Cannabis Stock Is Skyrocketing Wednesday: What About Canopy, Tilray, Cronos?",benzinga,1.0,1.03,3.0000000000000027,1.195,16.019417475728158,1.06,2.9126213592233037,0.0,-7.971698113207548,1807681.0,553865.0793650794,3.2637569461360996,82.0,11.650485436893192
2025-02-06,1,0,1,False,True,Cannabis Giant Tilray Doubles Down On Its Beer Business With New JetBlue Partnership,benzinga,1.06,1.075,1.415094339622632,1.13,5.116279069767436,1.06,-1.3953488372092933,-5.1886792452830335,-11.37735849056604,581017.0,564533.6507936508,1.029198169468155,59.0,5.116279069767436
