ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes
NNE,2025-11-13,GAP_DN,-0.020257,0.020257,2-5%,3.5546,35.79,36.53,-30.09,NEUTRAL,35.79,33.19,33.635,0.0,0.072646,0.0,0.7314,0.0,110.0,AT_OPEN,FIRST_2HR,-0.060212,0,False,,False,
NNE,2025-11-14,GAP_DN,-0.047421,0.047421,2-5%,3.5564,32.04,33.635,-4.81,BEARISH,34.595,31.47,32.74,0.079744,0.01779,0.7184,0.1603,115.0,0.0,FIRST_2HR,AT_OPEN,0.021848,1,False,,True,15.0
NNE,2025-11-25,GAP_DN,-0.02809,0.02809,2-5%,2.9746,29.41,30.26,-14.28,NEUTRAL,30.55,28.37,30.26,0.038762,0.035362,0.3832,0.3496,370.0,10.0,LAST_HOUR,FIRST_30MIN,0.028902,1,False,,False,
NNE,2025-12-01,GAP_DN,-0.039872,0.039872,2-5%,2.4196,31.425,32.73,-62.69,NEUTRAL,32.01,31.19,31.51,0.018616,0.007478,0.2418,0.0971,25.0,105.0,FIRST_30MIN,FIRST_2HR,0.002705,1,False,,False,
NNE,2025-12-03,GAP_DN,-0.032857,0.032857,2-5%,2.4821,31.79,32.87,-100.0,BULLISH,33.96,31.79,33.88,0.06826,0.0,0.8743,0.0,385.0,0.0,LAST_HOUR,AT_OPEN,0.065744,1,True,245.0,False,
NNE,2025-12-26,GAP_DN,-0.038309,0.038309,2-5%,2.7514,29.12,30.28,-63.75,BEARISH,29.315,28.075,28.485,0.006696,0.035886,0.0709,0.3798,0.0,35.0,AT_OPEN,FIRST_HOUR,-0.021806,0,False,,False,
NNE,2026-01-20,GAP_DN,-0.056225,0.056225,5-8%,2.5993,33.655,35.66,-79.86,BULLISH,35.19,33.5,33.885,0.04561,0.004606,0.5905,0.0596,160.0,305.0,MID_SESSION,LAST_HOUR,0.006834,1,True,90.0,False,
NNE,2026-01-23,GAP_DN,-0.024643,0.024643,2-5%,2.8279,35.225,36.115,-31.28,BEARISH,36.1,33.98,34.77,0.02484,0.035344,0.3094,0.4403,50.0,345.0,FIRST_HOUR,LAST_HOUR,-0.012917,0,True,340.0,False,
NNE,2026-01-26,GAP_DN,-0.024734,0.024734,2-5%,2.7175,33.91,34.77,-100.0,NEUTRAL,34.64,32.33,32.82,0.021528,0.046594,0.2686,0.5814,15.0,335.0,FIRST_30MIN,LAST_HOUR,-0.032144,0,False,,False,
NNE,2026-01-29,GAP_DN,-0.04074,0.04074,2-5%,3.0168,33.2,34.61,-9.8,BEARISH,33.35,30.2,32.13,0.004518,0.090361,0.0497,0.9944,15.0,85.0,FIRST_30MIN,FIRST_2HR,-0.032229,0,True,25.0,False,
NNE,2026-02-05,GAP_DN,-0.043658,0.043658,2-5%,2.98,26.615,27.83,66.63,NEUTRAL,27.34,26.05,26.14,0.02724,0.021229,0.2433,0.1896,70.0,375.0,FIRST_2HR,LAST_HOUR,-0.017847,0,False,,False,
NNE,2026-02-10,GAP_DN,-0.022257,0.022257,2-5%,2.6936,27.895,28.53,-70.16,NEUTRAL,28.41,26.21,26.44,0.018462,0.060405,0.1912,0.6256,5.0,260.0,AT_OPEN,MID_SESSION,-0.05216,0,False,,False,
NNE,2026-02-12,GAP_DN,-0.022953,0.022953,2-5%,2.6954,25.54,26.14,90.58,NEUTRAL,25.71,24.64,24.79,0.006656,0.035239,0.0631,0.3339,5.0,335.0,AT_OPEN,LAST_HOUR,-0.029366,0,False,,False,
NNE,2026-02-17,GAP_DN,-0.035067,0.035067,2-5%,2.4436,23.94,24.81,-38.88,NEUTRAL,25.465,23.64,25.26,0.063701,0.012531,0.6241,0.1228,335.0,45.0,LAST_HOUR,FIRST_HOUR,0.055138,1,False,,False,
NNE,2026-02-19,GAP_DN,-0.038354,0.038354,2-5%,2.2618,24.07,25.03,-39.12,NEUTRAL,25.975,23.97,25.655,0.079144,0.004155,0.8422,0.0442,75.0,0.0,FIRST_2HR,AT_OPEN,0.06585,1,False,,False,
NNE,2026-02-20,GAP_DN,-0.043266,0.043266,2-5%,2.1086,24.545,25.655,-24.12,NEUTRAL,25.15,24.2,24.59,0.024649,0.014056,0.2869,0.1636,15.0,330.0,FIRST_30MIN,LAST_HOUR,0.001833,1,False,,False,
NNE,2026-02-23,GAP_DN,-0.02867,0.02867,2-5%,2.0496,23.885,24.59,-32.42,NEUTRAL,24.62,23.71,24.45,0.030772,0.007327,0.3586,0.0854,50.0,185.0,FIRST_HOUR,MID_SESSION,0.023655,1,False,,False,
NNE,2026-02-27,GAP_DN,-0.038087,0.038087,2-5%,1.7454,26.645,27.7,-1.44,NEUTRAL,27.015,26.11,26.56,0.013886,0.020079,0.212,0.3065,55.0,300.0,FIRST_HOUR,MID_SESSION,-0.00319,0,False,,False,
NNE,2026-03-03,GAP_DN,-0.041439,0.041439,2-5%,1.7532,26.37,27.51,-100.0,MAX_BEARISH,26.505,25.45,26.01,0.005119,0.034888,0.077,0.5248,30.0,90.0,FIRST_30MIN,FIRST_2HR,-0.013652,0,True,75.0,False,
NNE,2026-03-05,GAP_DN,-0.023918,0.023918,2-5%,1.6364,25.71,26.34,24.48,NEUTRAL,26.49,24.84,25.56,0.030338,0.033839,0.4767,0.5317,20.0,205.0,FIRST_30MIN,MID_SESSION,-0.005834,0,False,,False,
NRG,2024-05-06 04:00:00+00:00,GAP_UP,0.0212738188462541,0.0212738188462541,2-5%,2.1678571428571405,78.25,76.62,-100.0,MAX_BEARISH,78.285,76.43,77.87,0.000447,0.023259,0.0161,0.8395,180.0,10.0,MID_SESSION,FIRST_30MIN,0.004856,1,True,0.0,False,
NRG,2024-05-10 04:00:00+00:00,GAP_UP,0.0204842851901675,0.0204842851901675,2-5%,3.049285714285712,83.445,81.77,41.41,NEUTRAL,84.4,82.66,83.68,0.011445,0.009407,0.3132,0.2574,10.0,30.0,FIRST_30MIN,FIRST_30MIN,-0.002816,0,False,,False,
NRG,2024-05-15 04:00:00+00:00,GAP_UP,0.0208307954683882,0.0208307954683882,2-5%,3.256428571428571,83.8,82.09,100.0,MAX_BULLISH,85.96,83.35,84.49,0.025776,0.00537,0.6633,0.1382,55.0,195.0,FIRST_HOUR,MID_SESSION,-0.008234,0,True,40.0,False,
NRG,2024-08-08 04:00:00+00:00,GAP_UP,0.0260966129927817,0.0260966129927817,2-5%,3.024642857142856,73.92,72.04,26.16,BULLISH,78.61,73.805,78.01,0.063447,0.001556,1.5506,0.038,370.0,5.0,LAST_HOUR,AT_OPEN,-0.05533,0,True,20.0,False,
NRG,2024-09-26 04:00:00+00:00,GAP_UP,0.0234173669467787,0.0234173669467787,2-5%,2.517857142857144,91.34,89.25,2.74,NEUTRAL,93.16,89.99,90.63,0.019926,0.01478,0.7228,0.5362,0.0,375.0,AT_OPEN,LAST_HOUR,0.007773,1,False,,False,
NRG,2024-12-24 05:00:00+00:00,GAP_UP,0.0315901099514429,0.0315901099514429,2-5%,2.834285714285716,92.415,89.585,-16.69,BULLISH,93.64,92.415,93.08,0.013255,0.0,0.4322,0.0,90.0,0.0,FIRST_2HR,AT_OPEN,-0.007196,0,True,130.0,False,
