2026-02-14T14:48:21 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T14:48:21 | INFO     | levels_engine.query_cli | DONE — 1/1 tickers
2026-02-14T14:48:21 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T15:06:49 | INFO     | levels_engine.query_cli | Query Mode started for ['RIVN'] → C:\QuantLab\Data_Lab\data\levels\2026-02-14
2026-02-14T15:06:49 | INFO     | levels_engine.alpaca_options | AlpacaOptionsProvider using auth_mode=live  data_feed=indicative
2026-02-14T15:06:49 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T15:06:49 | INFO     | levels_engine.query_cli | QUERY MODE — RIVN
2026-02-14T15:06:49 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T15:06:51 | INFO     | levels_engine.alpaca_options | RIVN spot = 17.73
2026-02-14T15:06:51 | INFO     | levels_engine.query_cli | RIVN spot = 17.73
2026-02-14T15:06:53 | INFO     | levels_engine.alpaca_options | RIVN snapshots (raw) = 1036
2026-02-14T15:06:54 | INFO     | levels_engine.alpaca_options | RIVN contracts (raw) = 602
2026-02-14T15:06:54 | INFO     | levels_engine.alpaca_options | RIVN contracts (filtered to 7 expirations) = 602
2026-02-14T15:06:54 | INFO     | levels_engine.alpaca_options | RIVN OI enrichment: 602 contracts with OI data
2026-02-14T15:06:54 | INFO     | levels_engine.alpaca_options | RIVN contracts (filtered to 7 expirations) = 506
2026-02-14T15:06:54 | INFO     | levels_engine.alpaca_options | RIVN → 506 option contracts with data
2026-02-14T15:06:54 | INFO     | levels_engine.query_cli | RIVN lenses: front_week=2026-02-20  monthly=2026-02-27 (proxy=True)
2026-02-14T15:06:56 | INFO     | levels_engine.edgar_fetch | CIK 0001874178: 3 filings in lookback window
2026-02-14T15:07:00 | INFO     | levels_engine.edgar_fetch | RIVN: fetched 3 filing documents (of 3 indexed)
2026-02-14T15:07:00 | INFO     | levels_engine.arb_extract | RIVN: 7 unique arb levels from 3 filings (17 raw matches)
2026-02-14T15:07:00 | INFO     | levels_engine.io | Wrote text → C:\QuantLab\Data_Lab\data\levels\2026-02-14\QUERY_REPORT_RIVN.md
2026-02-14T15:07:00 | INFO     | levels_engine.io | Wrote JSON → C:\QuantLab\Data_Lab\data\levels\2026-02-14\query_output_RIVN.json
2026-02-14T15:07:00 | INFO     | levels_engine.io | Wrote text → C:\QuantLab\Data_Lab\data\levels\2026-02-14\DESK_SNIPPET_RIVN.txt
2026-02-14T15:07:00 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T15:07:00 | INFO     | levels_engine.query_cli | DONE — 1/1 tickers
2026-02-14T15:07:00 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T15:34:06 | INFO     | levels_engine.query_cli | Query Mode started for ['LYFT'] → C:\QuantLab\Data_Lab\data\levels\2026-02-14
2026-02-14T15:34:06 | INFO     | levels_engine.alpaca_options | AlpacaOptionsProvider using auth_mode=live  data_feed=indicative
2026-02-14T15:34:06 | INFO     | levels_engine.query_cli | ============================================================
2026-02-14T15:34:06 | INFO     | levels_engine.query_cli | QUERY MODE — LYFT
2026-02-14T15:34:06 | INFO     | levels_engine.query_cli | ============================================================
