ticker,date,prior_close,open_price,gap_pct,day_close,day_high,day_low
NET,2024-12-02 05:00:00+00:00,99.89,105.61,0.05726298928821703,105.15,108.49,104.61
NET,2025-01-02 05:00:00+00:00,107.69,113.155,0.05074751601820042,112.55,114.71,110.95
NET,2025-02-07 05:00:00+00:00,141.57,153.25,0.082503355230628,166.815,171.31,152.79
NET,2025-03-25 04:00:00+00:00,123.98,131.79,0.06299403129537012,127.43,132.1,126.08
NET,2025-04-08 04:00:00+00:00,98.25,103.225,0.05063613231552157,97.42,105.07,95.79
NET,2025-04-23 04:00:00+00:00,106.82,113.73,0.06468826062535116,112.77,117.795,112.23
NET,2025-05-09 04:00:00+00:00,124.49,134.705,0.08205478351674848,132.87,136.235,130.26
NET,2025-10-31 04:00:00+00:00,222.47,237.5,0.06755967096687195,253.29,254.25,235.09
NET,2026-01-26 05:00:00+00:00,173.4,184.73,0.06534025374855815,189.51,194.89,184.36
NET,2026-01-27 05:00:00+00:00,189.51,211.26,0.11476966914674688,206.0,217.99,205.38
NET,2026-02-11 05:00:00+00:00,180.045,200.66,0.11449915298953045,189.51,203.49,185.83
NFLX,2024-01-24 05:00:00+00:00,491.12,538.49,0.09645300537546833,544.885,562.315,537.54
NFLX,2024-10-18 04:00:00+00:00,687.85,736.85,0.07123646143781348,763.755,766.27,736.85
NFLX,2025-01-22 05:00:00+00:00,871.595,998.025,0.14505590325782036,953.62,998.025,951.155
NFLX,2025-04-08 04:00:00+00:00,867.43,912.16,0.05156612060915581,870.36,921.77,859.22
NFLX,2026-02-27 05:00:00+00:00,84.62,94.405,0.11563460174899547,96.3,96.75,90.62
NIO,2024-01-23 05:00:00+00:00,5.975,6.4,0.07112970711297084,6.215,6.875,6.17
NIO,2024-02-06 05:00:00+00:00,5.375,5.71,0.06232558139534883,6.03,6.045,5.6
NIO,2024-04-26 04:00:00+00:00,4.125,4.45,0.07878787878787884,4.495,4.54,4.39
NIO,2024-05-02 04:00:00+00:00,5.265,5.595,0.0626780626780627,5.595,5.67,5.175
NIO,2024-08-30 04:00:00+00:00,3.935,4.195,0.0660736975857688,4.04,4.2,4.01
NIO,2024-09-24 04:00:00+00:00,5.32,5.755,0.081766917293233,5.94,5.96,5.62
NIO,2024-09-26 04:00:00+00:00,5.65,6.01,0.06371681415929194,5.78,6.195,5.7
NIO,2024-09-30 04:00:00+00:00,6.515,7.69,0.18035303146584816,6.675,7.69,6.665
NIO,2024-10-18 04:00:00+00:00,5.15,5.465,0.06116504854368922,5.23,5.485,5.18
NIO,2024-12-09 05:00:00+00:00,4.62,4.96,0.07359307359307356,5.185,5.36,4.96
NIO,2025-03-11 04:00:00+00:00,4.46,4.745,0.06390134529147985,5.21,5.32,4.72
NIO,2025-05-12 04:00:00+00:00,3.96,4.23,0.0681818181818183,4.19,4.27,4.09
NIO,2025-08-22 04:00:00+00:00,5.535,5.855,0.05781391147244811,6.36,6.58,5.78
NIO,2025-08-25 04:00:00+00:00,6.36,6.7,0.05345911949685532,6.08,6.72,6.075
NIO,2025-08-26 04:00:00+00:00,6.08,6.385,0.05016447368421048,6.69,6.82,6.385
NIO,2026-02-05 05:00:00+00:00,4.44,4.79,0.07882882882882875,4.705,4.905,4.59
NIO,2026-02-06 05:00:00+00:00,4.705,4.985,0.05951115834218921,5.04,5.22,4.94
NKE,2024-09-20 04:00:00+00:00,80.985,87.87,0.0850157436562327,86.66,87.97,84.83
NKE,2025-05-12 04:00:00+00:00,58.3,62.395,0.0702401372212694,62.575,63.45,61.81
NKE,2025-06-27 04:00:00+00:00,62.56,69.78,0.1154092071611253,72.07,74.19,69.76
NKE,2025-10-01 04:00:00+00:00,69.73,74.34,0.06611214685214398,74.24,74.605,71.63
NLR,2025-04-08 04:00:00+00:00,66.85,70.535,0.05512341062079286,66.59,70.535,66.35
NLR,2025-05-23 04:00:00+00:00,88.22,93.52,0.06007708002720468,96.785,97.51,93.52
NLR,2025-06-16 04:00:00+00:00,105.11,112.545,0.07073542003615263,109.65,112.545,109.31
NLR,2025-10-13 04:00:00+00:00,146.75,155.04,0.05649063032367967,155.555,158.74,153.96
NNE,2024-05-15 04:00:00+00:00,3.27,3.51,0.07339449541284397,4.06,4.14,3.51
NNE,2024-05-17 04:00:00+00:00,4.025,4.33,0.07577639751552788,3.945,4.37,3.945
NNE,2024-05-28 04:00:00+00:00,4.35,4.91,0.12873563218390818,5.48,5.88,4.64
NNE,2024-05-31 04:00:00+00:00,8.61,10.19,0.18350754936120792,7.42,10.19,6.57
NNE,2024-06-06 04:00:00+00:00,7.7,8.23,0.06883116883116887,7.61,8.37,7.61
